C000592401	sarilumab
C000596027	baricitinib
C000606551	remdesivir
C000656865	talaromycosis
C000657245	[obsolete] covid-19
C003043	paraform
C007293	dapi
C016679	[obsolete] polyacrylamide
C023676	chloroquine diphosphate
C024865	polyvinylidene fluoride
C032159	acetonitrile
C034532	camostat
C086979	umifenovir
C411644	trizol
C462182	favipiravir
C502936	tocilizumab
C535395	atelosteogenesis type 2
C535733	emanuel syndrome
C535742	congenital disorder of glycosylation type 1d
C535882	johnson neuroectodermal syndrome
C536227	cyclic neutropenia
C536395	neonatal herpes
C536439	corneal endothelial dystrophy type 2
C536767	xk aprosencephaly
C536920	tight skin contracture syndrome, lethal
C537017	bulbospinal neuronopathy, x-linked recessive
C537418	opitz trigonocephaly syndrome
C537501	strudwick syndrome
C537866	oculocerebral hypopigmentation syndrome type preus
C538137	hyperferritinemia, hereditary, with congenital cataracts
C538614	papillary renal cell carcinoma, sporadic
C540383	ruxolitinib
C558899	lopinavir-ritonavir drug combination
C563010	neutrophilia, hereditary
C569686	alexa fluor 647
D000013	congenital abnormalities
D000014	abnormalities, drug-induced
D000067073	psychological trauma
D000067390	cold injury
D000068376	compassion fatigue
D000069283	rituximab
D000069285	infliximab
D000070642	brain injuries, traumatic
D000071079	stenosis, pulmonary artery
D000073893	sugars
D000077266	moxifloxacin
D000077559	sodium citrate
D000077731	meropenem
D000079225	psychological distress
D000081029	pulmonary arterial hypertension
D000082	acetaminophen
D000096	acetone
D000138	acidosis
D000163	acquired immunodeficiency syndrome
D000208	acute disease
D000225	adenine
D000230	adenocarcinoma
D000241	adenosine
D000255	adenosine triphosphate
D000275	adjustment disorders
D000309	adrenal insufficiency
D000336	aerosols
D000362	agar
D000370	ageusia
D000402	airway obstruction
D000409	alanine
D000431	ethanol
D000432	methanol
D000437	alcoholism
D000438	alcohols
D000450	aldosterone
D000535	aluminum
D000544	alzheimer disease
D000577	amides
D000588	amines
D000740	anemia
D000783	aneurysm
D000787	angina pectoris
D000806	angiotensin-converting enzyme inhibitors
D000853	anophthalmos
D000855	anorexia
D000857	olfaction disorders
D000860	hypoxia
D000900	anti-bacterial agents
D000998	antiviral agents
D001007	anxiety
D001049	apnea
D001064	appendicitis
D001068	feeding and eating disorders
D001102	arbovirus infections
D001120	arginine
D001145	arrhythmias, cardiac
D001168	arthritis
D001171	arthritis, juvenile
D001172	arthritis, rheumatoid
D001205	ascorbic acid
D001224	aspartic acid
D001241	aspirin
D001247	asthenia
D001249	asthma
D001259	ataxia
D001281	atrial fibrillation
D001289	attention deficit disorder with hyperactivity
D001321	autistic disorder
D001327	autoimmune diseases
D001379	azathioprine
D001416	back pain
D001424	bacterial infections
D001464	barium
D001480	basal ganglia diseases
D001523	mental disorders
D001663	bilirubin
D001710	biotin
D001714	bipolar disorder
D001749	urinary bladder neoplasms
D001766	blindness
D001778	blood coagulation disorders
D001855	bone marrow diseases
D001919	bradycardia
D001927	brain diseases
D001929	brain edema
D001930	brain injuries
D001932	brain neoplasms
D001943	breast neoplasms
D001991	bronchitis
D002104	cadmium
D002118	calcium
D002241	carbohydrates
D002244	carbon
D002245	carbon dioxide
D002248	carbon monoxide
D002277	carcinoma
D002280	basal cell carcinoma
D002289	carcinoma, non-small-cell lung
D002294	carcinoma, squamous cell
D002303	cardiac output, low
D002311	cardiomyopathy, dilated
D002318	cardiovascular diseases
D002386	cataract
D002395	catecholamines
D002443	ceftriaxone
D002493	enfermedades del sistema nervioso central
D002494	central nervous system infections
D002543	cerebral hemorrhage
D002544	cerebral infarction
D002545	brain ischemia
D002561	cerebrovascular disorders
D002586	cesium
D002637	chest pain
D002710	chlorhexidine
D002713	chlorine
D002738	chloroquine
D002784	cholesterol
D002908	chronic disease
D002945	cisplatin
D003072	cognition disorders
D003078	colchicine
D003092	colitis
D003110	colonic neoplasms
D003128	coma
D003141	communicable diseases
D003231	conjunctivitis
D003244	consciousness disorders
D003248	constipation
D003300	copper
D003324	coronary artery disease
D003371	cough
D003401	creatine
D003404	creatinine
D003424	crohn disease
D003428	cross infection
D003520	cyclophosphamide
D003545	cysteine
D003550	cystic fibrosis
D003596	cytosine
D003643	death
D003645	death, sudden
D003680	deglutition disorders
D003681	dehydration
D003693	delirium
D003704	dementia
D003711	demyelinating diseases
D003903	deuterium
D003907	dexamethasone
D003920	diabetes mellitus
D003922	diabetes mellitus, type 1
D003924	diabetes mellitus, type 2
D003967	diarrhea
D004067	digestive system neoplasms
D004121	dimethyl sulfoxide
D004211	disseminated intravascular coagulation
D004229	dithiothreitol
D004244	dizziness
D004298	dopamine
D004318	doxycycline
D004342	drug hypersensitivity
D004408	dysgeusia
