source,target,confidence,lift,leverage,conviction
T_severe_acute_respiratory_syndrome,T_respiratory_syndrome,1.0,8.93,0.1,93.25
T_acute_respiratory_syndrome,T_respiratory_syndrome,1.0,8.93,0.1,93.25
T_severe_acute_respiratory_syndrome,T_acute_respiratory_syndrome,1.0,9.02,0.1,93.36
T_acute_respiratory_syndrome,T_severe_acute_respiratory_syndrome,1.0,9.02,0.1,93.36
T_care_workers,T_care_worker,1.0,20.59,0.05,43.77
T_care_worker,T_care_workers,1.0,20.59,0.05,43.77
T_healthcare_workers,T_care_workers,1.0,20.59,0.03,28.54
T_healthcare_worker,T_care_workers,1.0,20.59,0.03,28.54
T_healthcare_workers,T_care_worker,1.0,20.59,0.03,28.54
T_healthcare_worker,T_care_worker,1.0,20.59,0.03,28.54
T_intensive_care_unit,T_intensive_care,1.0,24.28,0.03,27.81
T_cross_sectional_study_2,T_sectional_study,1.0,27.85,0.03,31.82
T_confidence_interval,T_confidence_interval_2,1.0,29.59,0.03,28.99
T_healthcare_workers,T_healthcare_worker,1.0,31.57,0.03,29.05
T_healthcare_worker,T_healthcare_workers,1.0,31.57,0.03,29.05
T_intensive_care_unit,T_care_unit,1.0,31.57,0.03,28.08
T_polymerase_chain_reaction,T_chain_reaction,1.0,35.07,0.03,25.26
T_healthcare_system,T_care_system,1.0,36.42,0.02,19.45
T_personal_protective_equipment,T_protective_equipment,1.0,39.46,0.02,18.52
T_supplementary_material,T_online_version,1.0,41.17,0.02,22.44
T_online_version,T_supplementary_material,1.0,41.17,0.02,22.44
T_virus_disease,T_severe_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_respiratory_syndrome,T_severe_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_virus_disease,T_respiratory_syndrome,1.0,8.93,0.05,51.51
T_severe_acute_respiratory_syndrome,T_respiratory_syndrome,1.0,8.93,0.05,51.51
T_virus_disease,T_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_respiratory_syndrome,T_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_virus_disease,T_respiratory_syndrome,1.0,8.93,0.05,51.51
T_acute_respiratory_syndrome,T_respiratory_syndrome,1.0,8.93,0.05,51.51
T_virus_disease,T_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_severe_acute_respiratory_syndrome,T_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_virus_disease,T_severe_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_acute_respiratory_syndrome,T_severe_acute_respiratory_syndrome,1.0,9.02,0.05,51.57
T_virus_disease,T_care_worker,1.0,20.59,0.02,18.08
T_care_workers,T_care_worker,1.0,20.59,0.02,18.08
T_virus_disease,T_care_workers,1.0,20.59,0.02,18.08
T_care_worker,T_care_workers,1.0,20.59,0.02,18.08
T_severe_acute_respiratory_syndrome,T_respiratory_syndrome,1.0,9.02,0.1,93.36
T_severe_acute_respiratory_syndrome,T_acute_respiratory_syndrome,1.0,9.02,0.1,93.36
T_respiratory_syndrome,T_acute_respiratory_syndrome,1.0,9.02,0.1,93.36
